candidate_id,english,us_auth,license_three_years,dot_cert,clean_criminal_record,weight_acceptance,truck_xp,pkg_delv_xp,marijuana,start_timeframe,weekly_avalibility,clean_driving_record,resume_url,created_at,previous_xp_description,truck_xp_desc
39,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/6/2025 3:32:28,200 stops it was in a van packages,Sprinter van and box truck
40,True,True,True,False,True,True,False,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Sunday, Saturday",True,,1/6/2025 4:40:42,I worked as a Amazon delivery driver up to 200 stops in a Amazon van,
41,True,True,True,False,True,True,False,False,No - I do not consume marijuana,As soon as possible,"Monday, Wednesday, Thursday, Saturday, Sunday",True,,1/6/2025 6:10:35,,
42,True,True,False,False,True,True,False,False,No - I do not consume marijuana,Two (2) weeks from now,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/6/2025 6:12:52,,
43,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Tuesday, Wednesday, Monday, Thursday, Saturday, Sunday, Friday",True,,1/6/2025 6:13:31,1 year Amazon deliver driver DOT certified,Step van and cargo van
44,True,True,True,False,True,True,False,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/6/2025 6:14:24,Varied. Worked for FedEx Express,
45,True,True,True,False,False,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/6/2025 6:14:31,,24 ft box truck
46,True,True,True,False,True,True,False,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/6/2025 6:15:42,100,
47,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/6/2025 6:16:16,I worked for UPS. Typically it would be 80-110 stops a day. I delivered direct to home packages,Ford Step-van from bimbo bakeries
48,True,True,True,False,True,True,False,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Thursday, Saturday, Wednesday, Friday, Sunday",True,,1/6/2025 6:21:00,,
49,True,True,True,False,True,True,False,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Thursday, Friday, Sunday, Saturday, Wednesday",True,,1/6/2025 6:21:51,Doordash,
50,True,True,True,False,False,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/6/2025 6:22:46,,Box trucks sprinter vans
51,True,True,True,False,True,True,False,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/6/2025 6:22:51,,
52,True,True,True,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/6/2025 6:24:28,,Moving vans 10ft-18ft
53,True,True,True,False,True,True,True,True,No - I do not consume marijuana,Two (2) weeks from now,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/6/2025 6:25:43,"1-2 household goods, furniture, materials pickup","cargo vans, small truck or 8'flatbed"
54,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday",True,,1/6/2025 6:30:59,25 stops an hour I would drive p1000 and p1200,I would drive all Vehicles vans p1000 p1200 etc
55,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Friday, Thursday, Wednesday, Monday, Tuesday, Saturday, Sunday",True,,1/6/2025 6:38:45,230 stops,Step van and sprinter vans
56,True,True,True,False,False,True,False,True,No - I do not consume marijuana,As soon as possible,"Saturday, Friday, Thursday, Wednesday, Tuesday, Monday",True,,1/6/2025 6:39:28,"130 to 170
packages",
57,True,True,True,False,True,True,False,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/6/2025 6:42:35,My previous package delivery was Amazon flex and Spark Driver. In Amazon Flex I delivered/stops around 30 packages in 3-4 hours. In Spark I delivered groceries from Walmart to customers houses.,
58,True,True,True,False,True,True,True,False,No - I do not consume marijuana,Two (2) weeks from now,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/6/2025 6:50:51,,Uhaul and Spritzers
59,True,True,True,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/6/2025 6:57:22,,Large Box Trucks
60,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/6/2025 6:58:52,It all depends on the load,Box truck
61,False,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Tuesday, Monday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/6/2025 7:03:31,40,I went to lorry
62,True,True,True,False,True,True,True,True,No - I do not consume marijuana,Two (2) weeks from now,"Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/6/2025 8:00:45,"180 Stops 350-400 packages, Stepvan Ford P1000",Ford P1000 16”
63,True,True,False,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Friday, Saturday, Sunday, Thursday",True,,1/6/2025 9:53:22,I worked with uber driver and Walmart package delivery companies,I have 4 month experience with tractor-trailer and I was drive truck
65,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Sunday, Saturday",True,,1/6/2025 15:32:48,"Average of 130 stops, Van, Box truck.","P1000, step van"
66,True,True,True,False,True,True,True,True,Yes - I recreationally consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/6/2025 15:37:51,"Amazon delivery (multiple years) average 160-200 stops a day,","I wasn't in the step van at Amazon, I drove a semi-step van"
67,True,True,True,False,True,True,False,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/6/2025 15:58:12,,
69,True,True,False,False,False,True,True,True,No - I do not consume marijuana,Two (2) weeks from now,Monday,True,,1/6/2025 19:34:43,40,van
